car,move
S,1
A,-2
A,3
U,2
G,-1
U,-1
P,-1
U,1
V,2
G,-1
V,-2
T,-1
B,1
N,1
S,-1
B,-1
N,-1
G,1
V,3
Y,-5
A,-4
W,1
N,-1
B,-4
Y,1
L,1
B,3
Y,4
B,-1
O,-1
N,2
F,-1
Z,1
J,1
A,1
L,-3
I,1
L,2
V,-2
B,-1
O,1
Y,-1
P,1
I,-1
N,1
N,-1
A,-1
L,-2
F,1
F,1
B,3
B,1
A,2
A,-1
B,-2
U,-1
B,2
S,1
O,-1
A,-1
K,2
V,-1
A,4
G,-1
G,2
E,1
K,-1
L,1
A,-2
A,1
U,1
B,-2
F,1
K,-1
Y,1
G,-2
B,1
A,-2
B,-2
B,2
S,-1
F,-1
U,-1
V,-1
G,1
A,1
L,-1
G,1
L,1
O,1
A,1
P,-1
P,1
N,1
N,-3
V,2
G,-2
T,1
N,1
N,-1
E,-1
U,1
G,2
U,-1
A,1
E,1
A,-3
B,-2
N,1
Y,-1
U,-1
C,-1
E,1
B,1
W,-1
U,1
Y,1
C,1
Y,-1
A,2
U,-1
C,-1
T,-1
B,2
S,1
N,-1
A,2
Y,1
A,-5
B,-5
W,1
C,1
D,-1
K,1
P,-1
H,1
R,1
E,-1
C,-1
Y,-1
K,-1
E,1
E,-1
C,1
K,1
Y,1
U,1
C,-1
E,1
E,-2
V,1
F,1
E,1
K,1
K,-1
U,-1
T,1
E,1
I,1
I,1
Y,-1
Y,1
I,-2
R,-1
F,-1
O,-1
U,2
U,-2
V,-1
F,1
C,1
P,1
M,1
E,-1
U,2
C,-1
F,-1
V,-1
M,-1
N,1
M,-1
K,-1
K,2
K,1
K,-2
U,-1
N,-1
C,1
U,1
X,1
K,1
P,-1
K,1
G,1
V,-1
O,1
G,1
G,-2
W,-1
K,-1
U,-1
K,-1
K,-1
G,1
K,2
T,-1
V,2
C,-1
Y,-1
E,-1
C,1
G,-2
W,1
P,-1
P,2
Y,1
N,3
G,2
U,1
N,-2
F,-2
T,1
F,3
F,-2
W,-1
P,-1
W,1
G,1
K,-1
L,-1
K,1
K,-2
F,2
V,-1
K,3
K,-2
U,-2
G,-2
E,1
C,-1
G,1
T,-1
O,-1
P,1
F,-1
F,1
U,2
I,1
P,-1
U,-1
V,2
K,2
E,1
V,-1
T,1
K,-3
P,1
H,1
L,1
T,-1
Y,-1
N,1
H,-1
L,-1
E,-2
N,1
U,-1
E,1
I,-1
N,-2
E,1
E,-2
S,-1
N,1
N,-1
F,-3
P,-1
V,4
P,1
N,2
L,3
U,1
C,1
G,-1
X,1
X,-2
L,-1
L,-2
N,-2
G,-1
P,-1
P,1
F,3
F,-1
F,-1
P,-1
V,-2
V,-4
F,-1
M,1
V,2
U,1
M,-1
P,1
U,-1
G,1
M,2
L,1
G,-1
T,1
P,-1
M,-2
X,1
L,1
N,-1
P,1
X,-1
M,1
Y,1
V,-1
F,1
M,-1
S,1
S,-1
F,-1
G,1
N,1
Y,-1
U,1
P,-1
V,1
Y,1
G,-1
G,1
L,-2
M,2
I,1
V,-2
L,1
P,1
N,-1
Y,-1
V,1
U,-2
Y,1
H,1
C,-1
T,-1
Y,-1
N,-1
P,-1
V,-1
M,-2
V,3
U,1
M,2
V,3
P,1
N,1
N,-2
N,2
M,-2
L,1
O,1
J,-1
O,-1
L,1
N,1
X,1
N,-1
X,-1
I,1
N,2
O,1
J,1
X,1
G,1
U,-1
W,-1
I,-1
H,-1
N,-2
U,1
K,-2
W,1
W,-1
R,1
K,1
I,1
U,-1
C,1
H,1
H,1
P,-2
D,2
P,2
P,-1
P,1
N,-1
C,1
B,2
O,1
P,-2
B,1
G,-2
V,-2
W,-1
Q,-1
R,-1
T,-1
A,1
O,-1
N,3
N,-3
B,-2
G,-1
Q,1
P,1
U,1
U,1
U,-2
N,3
N,-3
N,3
P,-1
N,-2
V,1
G,2
U,1
C,-1
C,-1
T,2
Y,1
T,-1
N,-1
A,-1
V,-1
A,1
B,1
T,-1
C,1
N,3
V,1
N,-1
V,-1
N,-1
B,1
B,-1
A,1
E,-1
G,-2
E,1
T,1
N,1
W,-1
B,1
A,-1
W,3
W,-4
W,3
B,-2
W,-2
N,2
N,-1
C,1
R,-1
Y,-1
R,1
W,1
B,2
W,2
X,1
G,4
B,-2
V,1
P,1
Q,-1
G,-1
A,-1
B,-1
Q,2
B,3
B,-3
Q,-2
V,1
N,1
O,1
B,3
B,-1
P,-1
X,-1
Q,1
A,1
V,-1
B,1
O,-1
P,1
G,1
U,-1
B,-2
N,-3
N,3
B,1
A,1
G,-2
O,-1
Q,-2
G,1
G,-3
X,1
N,-1
G,3
Q,1
V,-1
V,1
P,-1
A,-1
O,1
O,-1
U,1
B,1
Y,1
A,1
Y,-1
G,-2
N,1
B,-1
O,1
G,3
V,-1
X,-1
V,1
P,1
G,-1
G,-1
W,-1
V,-1
X,-1
Q,-1
U,1
G,-2
G,2
N,-1
U,-1
N,-2
U,-1
W,1
K,1
Q,2
M,1
G,-2
U,2
G,2
N,2
A,-1
M,-1
X,1
C,-2
N,-2
T,1
B,-1
